drug_id,drug_name,n_diseases,n_edges,pmid_count_sum,total_articles_sum,total_articles_median
@CHEMICAL_clonidine_displacing_substance,Clonidine,5,5,8,8,2.0
@CHEMICAL_acyclovir_monophosphate,Acyclovir,5,5,7,7,1.0
@CHEMICAL_prednisolone_farnesylate,Prednisolone,5,5,7,7,1.0
@CHEMICAL_testosterone_decanoate,Testosterone,5,5,5,5,1.0
@CHEMICAL_val_valacyclovir,Valacyclovir,5,5,5,5,1.0
@CHEMICAL_BL_11,Lisinopril,5,5,4,4,1.0
@CHEMICAL_calcium_hydroxide_calcium_chloride_potassium_chloride_sodium_bicarbonate_sodium_chloride_drug_combination,Potassium Chloride,5,5,0,0,0.0
@CHEMICAL_aspirin_4_hydroxybenzoic_acid_propyl_ester_drug_combination,Aspirin,4,4,10,10,2.5
@CHEMICAL_2_propyl_2_pentenoic_acid,Valproate,4,4,9,9,2.0
@CHEMICAL_ethinyl_estradiol_sulfonate,Ethinyl Estradiol,4,4,9,9,2.0
@CHEMICAL_olanzapine_fluoxetine_combination,Fluoxetine,4,4,9,9,2.0
@CHEMICAL_captopril_hydrochlorothiazide_drug_combination,Hydrochlorothiazide,4,4,8,8,1.0
@CHEMICAL_acyclovir_diphosphate_dimyristoylglycerol,Acyclovir,4,4,6,6,1.0
@CHEMICAL_acyclovir_triphosphate,Acyclovir,4,4,6,6,1.0
@CHEMICAL_allopurinol_benzbromarone_drug_combination,Allopurinol,4,4,6,6,1.0
@CHEMICAL_Albuterol_Ipratropium_Drug_Combination,Albuterol,4,4,5,5,1.0
@CHEMICAL_amlodipine_nicotinate,Amlodipine,4,4,5,5,1.0
@CHEMICAL_aspirin_phosphatidylcholine,Aspirin,4,4,5,5,1.0
@CHEMICAL_chloramine_B,Potassium Chloride,4,4,4,4,1.0
@CHEMICAL_segesterone_acetate_and_ethinyl_estradiol_vaginal_system,Ethinyl Estradiol,4,4,4,4,1.0
@CHEMICAL_amitriptyline_chlordiazepoxide_drug_combination,Amitriptyline,3,3,14,14,4.0
@CHEMICAL_fluticasone_formoterol,Fluticasone,3,3,11,11,1.0
@CHEMICAL_Glucovance,Metformin,3,3,10,10,1.0
@CHEMICAL_dehydroaripiprazole,Aripiprazole,3,3,9,9,4.0
@CHEMICAL_ferroglycine_sulfate,Ferrous Sulfate,3,3,7,7,2.0
@CHEMICAL_sulfamethoxazole_hydroxylamine,Sulfamethoxazole,3,3,7,7,1.0
@CHEMICAL_Ro_25_6760,Cholecalciferol,3,3,6,6,2.0
@CHEMICAL_Sitagliptin_Phosphate_Metformin_Hydrochloride_Drug_Combination,Metformin,3,3,6,6,1.0
@CHEMICAL_fluticasone_furoate_vilanterol_trifenatate,Fluticasone,3,3,6,6,2.0
@CHEMICAL_bupivacaine_meloxicam_drug_combination,Meloxicam,3,3,5,5,2.0
@CHEMICAL_2_oxo_clopidogrel,Clopidogrel,3,3,4,4,1.0
@CHEMICAL_acetaminophen_aspirin_caffeine_drug_combination,Acetaminophen,3,3,4,4,1.0
@CHEMICAL_ammonium_ferrous_sulfate,Ferrous Sulfate,3,3,4,4,1.0
@CHEMICAL_hydrocodone_tartrate_ibuprofen_drug_combination,Hydrocodone,3,3,4,4,1.0
@CHEMICAL_telmisartan_amlodipine_combination,Amlodipine,3,3,4,4,1.0
@CHEMICAL_telmisartan_hydrochlorothiazide_drug_combination,Hydrochlorothiazide,3,3,4,4,1.0
@CHEMICAL_3_methylgabapentin,Gabapentin,3,3,3,3,1.0
@CHEMICAL_N_methylduloxetine,Duloxetine,3,3,3,3,1.0
@CHEMICAL_acetaminophen_butalbital_caffeine_drug_combination,Acetaminophen,3,3,3,3,1.0
@CHEMICAL_bisoprolol_hydrochlorothiazide_drug_combination,Hydrochlorothiazide,3,3,3,3,1.0
@CHEMICAL_chlorobutanol_methylprednisolone_neomycin_drug_combination,Methylprednisolone,3,3,3,3,1.0
@CHEMICAL_clopidogrel_resinate,Clopidogrel,3,3,3,3,1.0
@CHEMICAL_doxycycline_polyphosphate,Doxycycline,3,3,3,3,1.0
@CHEMICAL_fluoresceinated_methotrexate,Methotrexate,3,3,3,3,1.0
@CHEMICAL_hydroxybupropion,Bupropion,3,3,3,3,1.0
@CHEMICAL_levonorgestrel_butanoate,Levonorgestrel,3,3,3,3,1.0
@CHEMICAL_pivcephalexin,Cephalexin,3,3,3,3,1.0
@CHEMICAL_prednisolone_21_stearoylglycolate,Prednisolone,3,3,3,3,1.0
@CHEMICAL_simvastatin_acid,Simvastatin,3,3,3,3,1.0
@CHEMICAL_testosterone_glucuronate,Testosterone,3,3,3,3,1.0
@CHEMICAL_LY2963016_insulin_glargine,Insulin Glargine,2,2,8,8,4.0
@CHEMICAL_dihydralazine___hydrochlorothiazide___reserpine_drug_combination,Hydrochlorothiazide,2,2,6,6,3.0
@CHEMICAL_bemetizide_bupranolol_triamterene_drug_combination,Triamterene,2,2,5,5,2.5
@CHEMICAL_methotrexate_gamma_aspartate,Methotrexate,2,2,4,4,2.0
@CHEMICAL_Aspirin_oxycodone_hydrochloride_oxycodone_terephthalate_combination,Aspirin,2,2,3,3,1.5
@CHEMICAL_Metharmon_F,Thyroid,2,2,3,3,1.5
@CHEMICAL_Ro_26_9228,Cholecalciferol,2,2,3,3,1.5
@CHEMICAL_dimethylenexylitol_valproate,Valproate,2,2,3,3,1.5
@CHEMICAL_ibuprofen_N_octyl_pyridostigmine,Ibuprofen,2,2,3,3,1.5
@CHEMICAL_lovastatin_niacin_combination,Lovastatin,2,2,3,3,1.5
@CHEMICAL_methotrexate_alpha_phenylalanine,Methotrexate,2,2,3,3,1.5
@CHEMICAL_oxycodone_hydrochloride_ibuprofen_drug_combination,Oxycodone,2,2,3,3,1.5
@CHEMICAL_1_testosterone,Testosterone,2,2,2,2,1.0
@CHEMICAL_5_FdU_alendronate,Alendronate,2,2,2,2,1.0
@CHEMICAL_Amlodipine_Besylate_Olmesartan_Medoxomil_Drug_Combination,Amlodipine,2,2,2,2,1.0
@CHEMICAL_N_succinylaspart_1_yl_celecoxib,Celecoxib,2,2,2,2,1.0
@CHEMICAL_N_succinylglutam_1_yl_celecoxib,Celecoxib,2,2,2,2,1.0
@CHEMICAL_TP_113,Metformin,2,2,2,2,1.0
@CHEMICAL_amlodipine_perindopril_drug_combination,Amlodipine,2,2,2,2,1.0
@CHEMICAL_amoxicillin_ascorbic_acid_niacinamide_riboflavin_thiamine_drug_combination,Amoxicillin,2,2,2,2,1.0
@CHEMICAL_bemetizide_triamterene_drug_combination,Triamterene,2,2,2,2,1.0
@CHEMICAL_bupranolol_spironolactone_drug_combination,Spironolactone,2,2,2,2,1.0
@CHEMICAL_buthiazide_spironolactone_drug_combination,Hydrochlorothiazide,2,2,2,2,1.0
@CHEMICAL_clobetasol_17_butyrate,Clobetasol,2,2,2,2,1.0
@CHEMICAL_glucose_valproate,Valproate,2,2,2,2,1.0
@CHEMICAL_omeprazole_sulfide,Omeprazole,2,2,2,2,1.0
@CHEMICAL_tramadol_dexketoprofen_drug_combination,Tramadol,2,2,2,2,1.0
