drug_name,drug_id,disease_name,disease_id,pmid_count,total_articles
Atorvastatin,@CHEMICAL_Atorvastatin,Colonic Neoplasms,@DISEASE_Colonic_Neoplasms,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Dementia,@DISEASE_Dementia,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Diabetic Cardiomyopathies,@DISEASE_Diabetic_Cardiomyopathies,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Glioma,@DISEASE_Glioma,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperlipoproteinemias,@DISEASE_Hyperlipoproteinemias,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Iron Overload,@DISEASE_Iron_Overload,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Lead Poisoning Nervous System,@DISEASE_Lead_Poisoning_Nervous_System,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Lung Diseases,@DISEASE_Lung_Diseases,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Metabolic Diseases,@DISEASE_Metabolic_Diseases,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Multiple Sclerosis Relapsing Remitting,@DISEASE_Multiple_Sclerosis_Relapsing_Remitting,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Myalgia,@DISEASE_Myalgia,86,86
Atorvastatin,@CHEMICAL_Atorvastatin,Mycoses,@DISEASE_Mycoses,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Myocardial Reperfusion Injury,@DISEASE_Myocardial_Reperfusion_Injury,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Neoplasm Metastasis,@DISEASE_Neoplasm_Metastasis,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Neurodegenerative Diseases,@DISEASE_Neurodegenerative_Diseases,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Obesity Abdominal,@DISEASE_Obesity_Abdominal,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Overweight,@DISEASE_Overweight,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Soft Tissue Injuries,@DISEASE_Soft_Tissue_Injuries,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Vascular Remodeling,@DISEASE_Vascular_Remodeling,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Ventricular Fibrillation,@DISEASE_Ventricular_Fibrillation,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Virus Diseases,@DISEASE_Virus_Diseases,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Weight Loss,@DISEASE_Weight_Loss,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Blood Coagulation Disorders,@DISEASE_Blood_Coagulation_Disorders,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Cerebral Arterial Diseases,@DISEASE_Cerebral_Arterial_Diseases,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Chronic Disease,@DISEASE_Chronic_Disease,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Critical Illness,@DISEASE_Critical_Illness,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Cytokine Release Syndrome,@DISEASE_Cytokine_Release_Syndrome,5,5
Atorvastatin,@CHEMICAL_Atorvastatin,Death Sudden Cardiac,@DISEASE_Death_Sudden_Cardiac,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Diabetic Angiopathies,@DISEASE_Diabetic_Angiopathies,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Endometriosis,@DISEASE_Endometriosis,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Graft vs Host Disease,@DISEASE_Graft_vs_Host_Disease,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Hematoma Subdural,@DISEASE_Hematoma_Subdural,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Inferior Wall Myocardial Infarction,@DISEASE_Inferior_Wall_Myocardial_Infarction,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Kidney Calculi,@DISEASE_Kidney_Calculi,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Leukemia,@DISEASE_Leukemia,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Liver Diseases,@DISEASE_Liver_Diseases,15,15
Atorvastatin,@CHEMICAL_Atorvastatin,Lung Injury,@DISEASE_Lung_Injury,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Lymphoma Non Hodgkin,@DISEASE_Lymphoma_Non_Hodgkin,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Malaria Cerebral,@DISEASE_Malaria_Cerebral,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Microvascular Angina,@DISEASE_Microvascular_Angina,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Mouth Diseases,@DISEASE_Mouth_Diseases,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Non ST Elevated Myocardial Infarction,@DISEASE_Non_ST_Elevated_Myocardial_Infarction,5,5
Atorvastatin,@CHEMICAL_Atorvastatin,Ovarian Diseases,@DISEASE_Ovarian_Diseases,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Parkinson Disease,@DISEASE_Parkinson_Disease,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Periodontal Diseases,@DISEASE_Periodontal_Diseases,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Pulmonary Embolism,@DISEASE_Pulmonary_Embolism,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Scleroderma Systemic,@DISEASE_Scleroderma_Systemic,6,6
Atorvastatin,@CHEMICAL_Atorvastatin,Skin Diseases,@DISEASE_Skin_Diseases,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Testicular Diseases,@DISEASE_Testicular_Diseases,6,6
