drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,resolve_status,accept_auto,reject_reason,extra_tokens,total_candidates_available,n_candidates_returned
Atorvastatin,NCT00844376,Bioavailability Study for New Atorvastatin Formulation,COMPLETED,PHASE4,Hypercholesterolemia,2009-02-13 00:00:00+00:00,68,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT01043380,Plaque REgression With Cholesterol Absorption Inhibitor or Synthesis Inhibitor Evaluated by IntraVascular UltraSound,COMPLETED,PHASE4,Hypercholesterolemia; Coronary Artery Disease,2010-01-05 00:00:00+00:00,69,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT01043380,Plaque REgression With Cholesterol Absorption Inhibitor or Synthesis Inhibitor Evaluated by IntraVascular UltraSound,COMPLETED,PHASE4,Hypercholesterolemia; Coronary Artery Disease,2010-01-05 00:00:00+00:00,69,Coronary Artery Disease,Coronary Artery Disease,@DISEASE_Coronary_Artery_Disease,exact,True,,0,4,0
Atorvastatin,NCT01161082,Ascending Multi-dose Study of REGN727(SAR236553) With and Without Concomitant Atorvastatin,COMPLETED,PHASE1,Hypercholesterolemia,2010-07-09 00:00:00+00:00,72,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT00166036,Effect of Statins on Oxidative Stress and Endothelial Progenitor Cells,COMPLETED,PHASE2,Diabetes Mellitus; Metabolic Syndrome X; Hypercholesterolemia,2005-09-12 00:00:00+00:00,73,Diabetes Mellitus,Diabetes Mellitus,@DISEASE_Diabetes_Mellitus,exact,True,,0,5,0
Atorvastatin,NCT00166036,Effect of Statins on Oxidative Stress and Endothelial Progenitor Cells,COMPLETED,PHASE2,Diabetes Mellitus; Metabolic Syndrome X; Hypercholesterolemia,2005-09-12 00:00:00+00:00,73,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT00136981,Carotid B-Mode Ultrasound Study to Compare Anti-Atherosclerotic Effect of Torcetrpib/Atorvastatin to Atorvastatin Alone.,COMPLETED,PHASE3,"Hypercholesterolemia, Familial; Hyperlipidemia",2005-08-25 00:00:00+00:00,75,Hyperlipidemia,Hyperlipidemias,@DISEASE_Hyperlipidemias,token_set_exact,True,,0,5,0
Atorvastatin,NCT00202904,Effectiveness and Safety of Ezetimibe Added to Atorvastatin in Patients With High Cholesterol and Coronary Heart Disease (Study P03740),COMPLETED,PHASE4,Hypercholesterolemia; Coronary Heart Disease,2005-09-13 00:00:00+00:00,76,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT03951207,Rosuvastatin/Amlodipine vs Atorvastatin/Amlodipine in Hypertension Patient With Dyslipidemia,COMPLETED,PHASE4,Dyslipidemias; Hypertension,2019-05-13 00:00:00+00:00,77,Dyslipidemias,Dyslipidemias,@DISEASE_Dyslipidemias,exact,True,,0,1,0
Atorvastatin,NCT03951207,Rosuvastatin/Amlodipine vs Atorvastatin/Amlodipine in Hypertension Patient With Dyslipidemia,COMPLETED,PHASE4,Dyslipidemias; Hypertension,2019-05-13 00:00:00+00:00,77,Hypertension,Hypertension,@DISEASE_Hypertension,exact,True,,0,5,0
