drug,nct_id,title,status,phase,disease,first_submit
Atorvastatin,NCT03610217,Pragmatic Clinical Trials in Scleroderma,UNKNOWN,,"Scleroderma, Systemic; Sclerosis, Systemic",2018-07-25
Atorvastatin,NCT01236430,A Study to Determine the Bioequivalence of SCH 900068 Compared to Marketed Products (Protocol No. P07551),COMPLETED,PHASE1,Hyperlipidemia,2010-11-05
Atorvastatin,NCT06094244,Statins in Patients With Spontaneous Intracerebral Hemorrhage,COMPLETED,,Intracerebral Hemorrhage,2023-07-19
Atorvastatin,NCT00296400,Prospective Evaluation of Proteinuria and Renal Function in Non-diabetic Patients With Progressive Renal Disease,COMPLETED,PHASE2,Hyperlipidemia,2006-02-23
Atorvastatin,NCT00917644,Bioequivalence Study Comparing A New 80 Mg Atorvastatin Tablet To A 80 Mg Atorvastatin Commercial Tablet,COMPLETED,PHASE4,Hypercholesterolemia,2009-06-08
Atorvastatin,NCT02437084,"Relationship Between Insulin Resistance and Statin Induced Type 2 Diabetes, and Integrative Personal Omics Profiling",COMPLETED,PHASE4,Hyperlipidemia; Insulin Resistance; Type 2 Diabetes,2015-04-24
Atorvastatin,NCT04379999,Atorvastatin ± Aspirin in Lynch Syndrome Syndrome,COMPLETED,EARLY_PHASE1,Lynch Syndrome,2020-01-03
Atorvastatin,NCT06485336,Prophylactic Treatment With Atorvastatin for Chronic Migraine (ChronicStatinMig),RECRUITING,PHASE2,Chronic Migraine,2024-06-10
Atorvastatin,NCT02350959,Adverse Plaque Characteristics in CCTA and TVC Imaging,UNKNOWN,PHASE4,Plaque,2015-01-16
Atorvastatin,NCT03874260,Cinical Trial to Explore the Efficacy of Statin/Choline Fenofibrate Combination Therapy vs Statin Monotherapy in Patients With Inadequately Controlled TG Despite Receiving Statin Monotherapy,UNKNOWN,PHASE4,Dyslipidemias,2019-03-12
Atorvastatin,NCT01228227,ROsuvastatin Pretreatment to Reduce MyocArdial Periprocedural Necrosis:Comparison With Atorvastatin Reloading,COMPLETED,PHASE3,Assess the Periprocedural Myocardial Necrosis,2010-10-18
Atorvastatin,NCT00728013,China Intensive Lipid Lowering With Statins in Acute Coronary Syndrome,UNKNOWN,,Acute Coronary Syndrome,2008-07-29
Atorvastatin,NCT05561062,Atorvastatin in Patients With Ulcerative Colitis,COMPLETED,PHASE2,Inflammatory Bowel Diseases,2022-09-27
Atorvastatin,NCT02674204,STOP Heart Disease in Breast Cancer Survivors Trial,TERMINATED,PHASE2,Breast Cancer; Heart Disease; Cardiotoxicity; Myocardial Dysfunction,2016-01-21
Atorvastatin,NCT03830164,"Pentoxifylline, Atorvastatin, and Vitamin E in Treating Patients With Erectile Dysfunction After Radiation Therapy for Prostate Cancer",COMPLETED,PHASE2,"Male Erectile Disorder; Prostate Adenocarcinoma; Erectile Dysfunction, CTCAE; Impotence",2019-02-01
Atorvastatin,NCT00289900,Lipid Efficacy and Safety in Participants With Mixed Hyperlipidemia (MK-0524B-024),COMPLETED,PHASE3,Mixed Hyperlipidemia,2006-02-07
Atorvastatin,NCT06096909,Early Initiation of Tafolecimab for Patients With Acute Coronary Syndromeundergoing Percutaneous Coronary Intervention in Chinese Population,NOT_YET_RECRUITING,,Acute Coronary Syndrome; Non ST Segment Elevation Acute Coronary Syndrome,2023-09-28
Atorvastatin,NCT00653744,Rosuvastatin Versus Atorvastatin in the Treatment of Hypercholesterolaemia in African American Subjects(ARIES),COMPLETED,PHASE3,Hypercholesterolemia; Dyslipidaemia,2008-03-26
Atorvastatin,NCT00654407,Mercury II - Compare the Efficacy and Safety of Lipid Lowering Agents Atorvastatin and Simvastatin With Rosuvastatin in High Risk Subjects With Type IIa and IIb Hypercholesterolemia,COMPLETED,PHASE3,Hypercholesterolemia,2008-04-03
Atorvastatin,NCT04813471,Managing Endothelial Dysfunction in Critically Ill COVID-19 Patients at LAUMCRH,UNKNOWN,PHASE3,Covid19; Endothelial Dysfunction,2021-03-22
Atorvastatin,NCT02591836,Efficacy and Safety of Gemcabene in Hypercholesterolemic Patients as Monotherapy or in Combination With Atorvastatin,COMPLETED,PHASE2,Hypercholesterolemia,2015-10-22
Atorvastatin,NCT01040936,Intensive Lipid Lowering Treatment in Non-ST-elevation Acute Coronary Syndrome (NSTE-ACS) Patients,UNKNOWN,PHASE4,Acute Coronary Syndrome,2009-12-29
Atorvastatin,NCT00163202,Comparative Atorvastatin Pleiotropic Effects,COMPLETED,PHASE4,Coronary Arteriosclerosis; Hypercholesterolemia,2005-09-09
