drug_name,drug_id,disease_name,disease_id,total_disease_entities
Atorvastatin,@CHEMICAL_Atorvastatin,Neurologic Manifestations,@DISEASE_Neurologic_Manifestations,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Pain,@DISEASE_Pain,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Peripheral Arterial Disease,@DISEASE_Peripheral_Arterial_Disease,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Ventricular Dysfunction Left,@DISEASE_Ventricular_Dysfunction_Left,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Calcinosis,@DISEASE_Calcinosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertension Pulmonary,@DISEASE_Hypertension_Pulmonary,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Wounds and Injuries,@DISEASE_Wounds_and_Injuries,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Depressive Disorder,@DISEASE_Depressive_Disorder,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Vascular System Injuries,@DISEASE_Vascular_System_Injuries,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Cerebral Hemorrhage,@DISEASE_Cerebral_Hemorrhage,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Diabetic Nephropathies,@DISEASE_Diabetic_Nephropathies,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperlipidemia Familial Combined,@DISEASE_Hyperlipidemia_Familial_Combined,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Osteoporosis,@DISEASE_Osteoporosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Brain Injuries,@DISEASE_Brain_Injuries,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hemorrhage,@DISEASE_Hemorrhage,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Liver Failure,@DISEASE_Liver_Failure,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Osteoarthritis,@DISEASE_Osteoarthritis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Pancreatic Neoplasms,@DISEASE_Pancreatic_Neoplasms,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Seizures,@DISEASE_Seizures,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Subarachnoid Hemorrhage,@DISEASE_Subarachnoid_Hemorrhage,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Arrhythmias Cardiac,@DISEASE_Arrhythmias_Cardiac,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Carcinoma Non Small Cell Lung,@DISEASE_Carcinoma_Non_Small_Cell_Lung,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Cardiomyopathy Dilated,@DISEASE_Cardiomyopathy_Dilated,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Constriction Pathologic,@DISEASE_Constriction_Pathologic,1026
