pmid,n_pairs,n_drugs,n_diseases,has_one_drug_multi_diseases,has_one_disease_multi_drugs
29643923,2,1,2,True,False
22281786,1,1,1,False,False
19172670,1,1,1,False,False
18163915,1,1,1,False,False
29557300,2,2,1,False,True
17258886,3,1,3,True,False
15910556,2,1,2,True,False
21439529,3,2,2,True,True
23043036,2,1,2,True,False
27629730,2,2,1,False,True
20363993,1,1,1,False,False
26625880,3,2,2,True,True
30606120,1,1,1,False,False
25769003,1,1,1,False,False
24456217,2,2,1,False,True
11310513,3,3,1,False,True
26385518,3,2,2,True,True
21833652,2,1,2,True,False
20003828,2,1,2,True,False
16133398,1,1,1,False,False
18727111,1,1,1,False,False
12084593,1,1,1,False,False
11472748,1,1,1,False,False
12803732,1,1,1,False,False
19225206,2,1,2,True,False
11452711,3,2,2,True,True
21458297,1,1,1,False,False
19150064,3,2,2,True,True
17349882,3,2,2,True,True
19752761,1,1,1,False,False
30323852,2,1,2,True,False
16889854,1,1,1,False,False
20599002,2,2,1,False,True
19167589,1,1,1,False,False
25456755,3,1,3,True,False
22957727,1,1,1,False,False
16521637,1,1,1,False,False
23944632,2,2,1,False,True
23348997,1,1,1,False,False
19719960,1,1,1,False,False
26860922,1,1,1,False,False
11468198,1,1,1,False,False
24903511,2,1,2,True,False
22100058,5,2,3,True,True
16415377,1,1,1,False,False
22440123,2,2,1,False,True
11922400,6,2,3,True,True
17340064,1,1,1,False,False
15246903,1,1,1,False,False
25369444,2,1,2,True,False
16534549,1,1,1,False,False
15351859,1,1,1,False,False
12663685,2,1,2,True,False
16907931,4,1,4,True,False
27923158,2,2,1,False,True
32393654,2,1,2,True,False
36079090,5,2,3,True,True
32968936,2,1,2,True,False
36927608,1,1,1,False,False
